gid,crop_id
885,41
864,3
661,35
778,40
846,43
806,41
866,33
784,4
685,11
672,47
819,41
689,41
757,49
813,41
741,29
813,6
700,33
705,6
679,35
820,35
705,41
818,35
685,12
658,19
775,35
823,47
846,53
845,5
837,29
784,3
846,36
787,45
835,46
756,26
777,24
864,4
778,19
661,53
808,3
695,41
771,4
884,45
755,43
704,35
776,45
708,39
839,21
832,3
754,42
820,53
774,21
880,41
775,53
712,41
772,26
866,3
845,41
822,11
694,31
693,35
741,19
817,42
707,35
841,19
826,6
694,11
826,41
696,19
709,53
658,29
706,49
846,39
773,26
835,29
822,12
780,47
807,3
775,39
818,39
700,3
868,19
689,38
880,5
836,3
690,12
756,49
708,35
685,44
704,39
835,28
769,41
840,41
808,33
824,26
830,41
835,30
769,6
713,41
692,31
707,53
709,35
784,33
866,4
683,44
810,47
774,48
701,31
701,12
837,19
691,35
813,5
702,35
692,12
770,19
825,3
715,41
838,3
805,3
846,19
823,45
755,40
696,39
815,3
835,35
807,42
780,26
757,47
773,47
741,39
834,3
757,15
705,31
684,4
778,53
661,19
835,43
715,44
778,36
685,41
705,12
713,44
772,47
814,26
868,39
818,19
820,19
679,19
779,3
813,12
809,41
862,53
786,48
683,41
658,35
700,51
683,6
757,21
686,45
817,3
846,40
787,21
691,29
835,53
712,11
755,19
835,23
880,11
775,13
811,41
831,41
880,31
815,4
774,49
884,47
784,24
708,29
824,47
905,33
770,39
880,12
777,3
754,10
862,35
818,40
709,29
841,3
787,41
696,3
815,39
812,12
835,33
820,42
888,35
805,39
840,26
776,41
830,26
866,19
824,41
884,41
741,3
834,39
839,11
811,47
836,19
712,45
807,19
839,12
779,39
880,45
770,4
846,42
700,19
741,4
885,45
655,31
684,39
672,31
686,11
690,48
826,26
686,31
778,33
772,41
770,3
777,39
825,19
686,12
778,10
838,19
784,29
708,24
773,41
755,42
705,45
757,41
700,40
834,19
808,53
864,35
661,3
693,33
846,14
755,4
811,26
866,39
840,21
771,43
805,19
903,33
846,3
771,35
815,19
784,53
707,33
880,48
812,38
818,3
692,45
679,3
905,30
779,19
903,10
807,39
775,3
810,41
822,9
817,19
832,53
741,42
701,45
836,39
821,33
713,47
695,48
785,12
808,35
668,41
689,48
770,42
862,32
846,4
708,33
709,33
805,40
784,35
780,41
815,40
771,53
705,48
822,1
826,47
885,48
785,11
694,45
706,31
691,33
690,45
862,52
776,44
822,45
884,44
775,4
832,35
824,44
814,41
887,0
904,0
863,4
863,42
863,16
863,44
863,45
863,43
863,3
863,12
863,29
863,41
