gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
104,2020-04-19,2020-10-19,12.016743,44.251545,FC,FC01,6.0,12.0,4.999455989555,valid,FC-RA-RN
163,2020-04-19,2020-10-19,11.0943362,44.5437561,MO,MO20,6.0,,9.17201610270917,valid,MO-RE
413,2021-02-22,2021-10-25,11.0233567,44.7052368,MO,MO16,9.0,16.0,3.83346026910383,valid,MO-RE
418,2021-02-22,2021-10-25,11.0721866,44.6056604,MO,MO21,9.0,7.0,1.47245493780147,valid,MO-RE
315,2021-02-22,2021-10-25,11.5998239,44.7847172,FE,FE18,9.0,3.0,7.00685453160701,valid,BO-FE
463,2021-02-22,2021-10-25,11.964822,44.322458,RA,RA16,9.0,15.0,9.62173140390962,valid,FC-RA-RN
71,2020-04-19,2020-10-19,11.7580788,44.8300904,FE,FE08,6.0,2.0,1.71907300620172,valid,BO-FE
29,2020-04-19,2020-10-19,11.661497,44.6387434,BO,BO06,6.0,10.0,3.26406267000326,valid,BO-FE
488,2021-02-22,2021-10-25,11.908431,44.300256,RA,RA41,9.0,2.0,0.939324701700939,valid,FC-RA-RN
159,2020-04-19,2020-10-19,11.0233567,44.7052368,MO,MO16,6.0,16.0,3.45990643020346,valid,MO-RE
354,2021-02-22,2021-10-25,12.3805762,44.1641651,FC,FC07,9.0,12.0,13.5313531353135,valid,FC-RA-RN
267,2021-02-22,2021-10-25,11.686861,44.372417,BO,BO20,9.0,5.0,10.3579588728104,valid,FC-RA-RN
72,2020-04-19,2020-10-19,11.5190763,44.8444582,FE,FE09,6.0,5.0,2.05091937765205,valid,BO-FE
41,2020-04-19,2020-10-19,11.7350908,44.3627714,BO,BO18,6.0,6.0,3.38374496790338,valid,FC-RA-RN
186,2020-04-19,2020-10-19,11.954109,44.486476,RA,RA03,6.0,,2.64933086715265,valid,FC-RA-RN
177,2020-04-19,2020-10-19,10.7953679,44.8596503,RE,MO34,6.0,,6.36492220650636,valid,MO-RE
402,2021-02-22,2021-10-25,11.231995,44.8135614,MO,MO05,9.0,5.0,2.13252094440213,valid,BO-FE
467,2021-02-22,2021-10-25,11.8458972,44.3741432,RA,RA20,9.0,5.0,2.58948971820259,valid,FC-RA-RN
171,2020-04-19,2020-10-19,10.8138395,44.7152998,RE,MO28,6.0,5.0,1.37090632140137,valid,MO-RE
480,2021-02-22,2021-10-25,11.9215892,44.4383246,RA,RA33,9.0,4.0,0.304645849200305,valid,FC-RA-RN
410,2021-02-22,2021-10-25,10.96102,44.8364453,MO,MO13,9.0,11.0,3.80807311500381,valid,MO-RE
459,2021-02-22,2021-10-25,11.8575539,44.4302849,RA,RA12,9.0,15.0,16.5778116273166,noisy,FC-RA-RN
314,2021-02-22,2021-10-25,11.8478407,44.9187958,FE,FE17,9.0,10.0,0.0380807311500381,invalid,BO-FE
190,2020-04-19,2020-10-19,11.8780366,44.5405295,RA,RA07,6.0,,8.21999782395822,valid,FC-RA-RN
400,2021-02-22,2021-10-25,11.115036,44.755434,MO,MO03,9.0,5.0,4.4046712363544,valid,MO-RE
473,2021-02-22,2021-10-25,11.8562059,44.3421912,RA,RA26,9.0,5.0,2.03097232800203,valid,FC-RA-RN
320,2021-02-22,2021-10-25,11.827048,44.8323731,FE,FE23,9.0,10.0,0.901243970550901,invalid,BO-FE
426,2021-02-22,2021-10-25,10.7050054706733,44.6136655938298,RE,MO29,9.0,11.0,17.7583142929678,valid,MO-RE
412,2021-02-22,2021-10-25,10.9636712,44.682249,MO,MO15,9.0,32.0,14.3564356435644,valid,MO-RE
115,2020-04-19,2020-10-19,12.0800003,44.4080381,RA,FC12,6.0,4.0,0.0598411489500598,valid,FC-RA-RN
148,2020-04-19,2020-10-19,11.231995,44.8135614,MO,MO05,6.0,5.0,1.8985964530519,valid,BO-FE
208,2020-04-19,2020-10-19,11.9807318,44.2759182,RA,RA25,6.0,0.0,0.0380807311500381,valid,FC-RA-RN
323,2021-02-22,2021-10-25,11.649626,44.7844171,FE,FE26,9.0,10.0,1.7009393247017,noisy,BO-FE
322,2021-02-22,2021-10-25,11.8167891,44.7996655,FE,FE25,9.0,0.0,0.0507743082000508,valid,BO-FE
211,2020-04-19,2020-10-19,11.9508926,44.3183829,RA,RA28,6.0,15.0,7.71950821455772,valid,FC-RA-RN
83,2020-04-19,2020-10-19,11.4247707,44.8039094,FE,FE20,6.0,2.0,0.484169296050484,valid,BO-FE
36,2020-04-19,2020-10-19,11.4466725,44.6446617,BO,BO13,6.0,16.0,3.34022413230334,valid,BO-FE
174,2020-04-19,2020-10-19,10.7410331,44.7585437,RE,MO31,6.0,8.0,11.1576542269612,invalid,MO-RE
304,2021-02-22,2021-10-25,12.0064286,44.9033685,FE,FE07,9.0,12.0,2.995684183803,valid,BO-FE
361,2021-02-22,2021-10-25,12.0363302,44.4462601,RA,FC14,9.0,6.0,0.748921045950749,valid,FC-RA-RN
77,2020-04-19,2020-10-19,11.8698468,44.8095546,FE,FE14,6.0,0.0,5.2007398542052,valid,BO-FE
451,2021-02-22,2021-10-25,11.8823501874614,44.4883006080824,RA,RA04,9.0,7.0,2.97029702970297,valid,FC-RA-RN
407,2021-02-22,2021-10-25,11.0678857,44.8315706,MO,MO10,9.0,16.0,1.29474485910129,valid,MO-RE
153,2020-04-19,2020-10-19,11.0678857,44.8315706,MO,MO10,6.0,16.0,1.57763029050158,valid,MO-RE
257,2021-02-22,2021-10-25,11.604261,44.629942,BO,BO10,9.0,10.0,0.875856816450876,valid,BO-FE
200,2020-04-19,2020-10-19,11.985468,44.3755617,RA,RA17,6.0,40.0,3.97127624850397,valid,FC-RA-RN
73,2020-04-19,2020-10-19,11.8474108,44.835164,FE,FE10,6.0,10.0,0.386247415950386,valid,BO-FE
40,2020-04-19,2020-10-19,11.606561,44.365355,BO,BO17,6.0,40.0,0.903057338700903,valid,FC-RA-RN
355,2021-02-22,2021-10-25,12.0431105,44.3932302,RA,FC08,9.0,5.0,2.32292460015232,valid,FC-RA-RN
222,2020-04-19,2020-10-19,11.9723126,44.3831711,RA,RA39,6.0,7.0,3.71015123490371,valid,FC-RA-RN
261,2021-02-22,2021-10-25,11.365186,44.711489,BO,BO14,9.0,2.0,0.507743082000508,valid,BO-FE
123,2020-04-19,2020-10-19,12.0011308,44.253912,FC,FC20,6.0,,1.03361984550103,valid,FC-RA-RN
