answer_id,togo_id,text
BMSB.INST.Q12.A3,215,
BMSB.INST.Q13.A2,215,
BMSB.INST.Q1.A1,247,
BMSB.INST.Q2.A4,247,
BMSB.INST.Q2.A9,247,
BMSB.INST.Q3.A1,247,
BMSB.INST.Q4.A2,247,
BMSB.INST.Q4.A3,247,
BMSB.INST.Q5.A1,247,
BMSB.INST.Q6.A4,247,
BMSB.INST.Q7.A1,247,
BMSB.INST.Q8.A1,247,
BMSB.INST.Q9.A1,247,
BMSB.INST.Q10.A2,247,
BMSB.INST.Q10.A3,247,
BMSB.INST.Q11.A1,247,
BMSB.INST.Q12.A1,247,
BMSB.INST.Q12.A2,247,
BMSB.INST.Q13.A1,247,
BMSB.INST.Q14.A3,247,
BMSB.INST.Q14.A4,247,
BMSB.INST.Q1.A1,246,
BMSB.INST.Q2.A1,246,
BMSB.INST.Q2.A3,246,
BMSB.INST.Q2.A4,246,
BMSB.INST.Q2.A8,246,
BMSB.INST.Q3.A1,246,
BMSB.INST.Q4.A1,246,
BMSB.INST.Q4.A2,246,
BMSB.INST.Q4.A3,246,
BMSB.INST.Q4.A4,246,
BMSB.INST.Q5.A1,246,
BMSB.INST.Q6.A3,246,
BMSB.INST.Q7.A1,246,
BMSB.INST.Q8.A4,246,
BMSB.INST.Q9.A1,246,
BMSB.INST.Q10.A1,246,
BMSB.INST.Q10.A4,246,
BMSB.INST.Q11.A1,246,
BMSB.INST.Q12.A2,246,
BMSB.INST.Q13.A1,246,
BMSB.INST.Q14.A3,246,
BMSB.INST.Q1.A1,316,
BMSB.INST.Q2.A9,316,
BMSB.INST.Q3.A1,316,
BMSB.INST.Q4.A1,316,
BMSB.INST.Q4.A2,316,
BMSB.INST.Q4.A3,316,
BMSB.INST.Q4.A4,316,
BMSB.INST.Q5.A1,316,
BMSB.INST.Q6.A2,316,
BMSB.INST.Q7.A1,316,
BMSB.INST.Q8.A2,316,
BMSB.INST.Q9.A1,316,
BMSB.INST.Q10.A4,316,
BMSB.INST.Q11.A1,316,
BMSB.INST.Q12.A1,316,
BMSB.INST.Q12.A2,316,
BMSB.INST.Q12.A7,316,
BMSB.INST.Q13.A1,316,
BMSB.INST.Q14.A2,316,
BMSB.INST.Q14.A3,316,
BMSB.INST.Q1.A1,130,
BMSB.INST.Q2.A9,130,
BMSB.INST.Q2.A2,130,
BMSB.INST.Q3.A1,130,
BMSB.INST.Q4.A1,130,
BMSB.INST.Q4.A2,130,
BMSB.INST.Q4.A6,130,
BMSB.INST.Q5.A1,130,
BMSB.INST.Q6.A2,130,
BMSB.INST.Q7.A1,130,
BMSB.INST.Q8.A2,130,
BMSB.INST.Q9.A1,130,
BMSB.INST.Q10.A4,130,
BMSB.INST.Q11.A1,130,
BMSB.INST.Q12.A7,130,
BMSB.INST.Q13.A1,130,
BMSB.INST.Q14.A3,130,
BMSB.INST.Q1.A2,163,
BMSB.INST.Q3.A2,163,
BMSB.INST.Q5.A1,163,
BMSB.INST.Q6.A3,163,
BMSB.INST.Q7.A1,163,
BMSB.INST.Q8.A1,163,
BMSB.INST.Q9.A1,163,
BMSB.INST.Q10.A3,163,
BMSB.INST.Q11.A1,163,
BMSB.INST.Q12.A1,163,
BMSB.INST.Q12.A2,163,
BMSB.INST.Q13.A2,163,
BMSB.INST.Q1.A1,195,
BMSB.INST.Q2.A9,195,
BMSB.INST.Q3.A1,195,
BMSB.INST.Q4.A3,195,
BMSB.INST.Q4.A2,195,
BMSB.INST.Q4.A6,195,
BMSB.INST.Q5.A1,195,
BMSB.INST.Q6.A3,195,
BMSB.INST.Q7.A1,195,
BMSB.INST.Q8.A1,195,
BMSB.INST.Q9.A1,195,
BMSB.INST.Q10.A4,195,
BMSB.INST.Q11.A1,195,
BMSB.INST.Q12.A2,195,
BMSB.INST.Q13.A1,195,
BMSB.INST.Q14.A3,195,
BMSB.INST.Q14.A4,195,
BMSB.INST.Q1.A1,217,
BMSB.INST.Q2.A4,217,
BMSB.INST.Q2.A9,217,
BMSB.INST.Q3.A1,217,
BMSB.INST.Q4.A2,217,
BMSB.INST.Q4.A6,217,
BMSB.INST.Q5.A1,217,
BMSB.INST.Q6.A1,217,
BMSB.INST.Q7.A1,217,
BMSB.INST.Q8.A1,217,
BMSB.INST.Q9.A1,217,
BMSB.INST.Q10.A4,217,
BMSB.INST.Q11.A1,217,
BMSB.INST.Q12.A1,217,
BMSB.INST.Q12.A3,217,
BMSB.INST.Q12.A4,217,
BMSB.INST.Q13.A1,217,
BMSB.INST.Q14.A2,217,
BMSB.INST.Q14.A3,217,
BMSB.INST.Q1.A2,166,
BMSB.INST.Q3.A1,166,
BMSB.INST.Q4.A3,166,
BMSB.INST.Q4.A2,166,
BMSB.INST.Q4.A4,166,
BMSB.INST.Q5.A1,166,
BMSB.INST.Q6.A1,166,
BMSB.INST.Q7.A1,166,
BMSB.INST.Q8.A2,166,
BMSB.INST.Q9.A1,166,
BMSB.INST.Q10.A4,166,
BMSB.INST.Q11.A1,166,
BMSB.INST.Q12.A1,166,
BMSB.INST.Q12.A2,166,
BMSB.INST.Q13.A1,166,
BMSB.INST.Q14.A1,166,
BMSB.INST.Q1.A2,293,
BMSB.INST.Q3.A1,293,
BMSB.INST.Q4.A6,293,
BMSB.INST.Q5.A1,293,
BMSB.INST.Q6.A1,293,
BMSB.INST.Q7.A1,293,
BMSB.INST.Q8.A2,293,
BMSB.INST.Q9.A1,293,
BMSB.INST.Q10.A3,293,
BMSB.INST.Q11.A1,293,
BMSB.INST.Q12.A2,293,
BMSB.INST.Q13.A1,293,
BMSB.INST.Q14.A3,293,
BMSB.INST.Q1.A2,164,
