togo_id,timestamp_assignment,timestamp_end,timestamp_completed,task_id,gid
9580,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,322
9579,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,321
9587,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,331
9575,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,315
9589,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,334
9585,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,329
9572,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,311
9590,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,335
9578,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,319
9573,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,313
9577,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,318
9584,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,327
9568,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,305
9586,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,330
9567,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,307
9581,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,323
9593,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,363
9658,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,493
9673,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,,6,370
9677,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,,6,314
9693,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,,6,332
9694,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,,6,362
9621,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,425
9558,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,352
9663,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,371
9680,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,354
9478,2021-07-05 00:00:00.000,2021-07-11 23:59:59.000,2021-07-10 00:00:00.000,6,493
9665,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,448
9624,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,430
9610,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,427
9710,2021-07-13 12:29:34.000,2021-07-13 12:29:34.000,2021-07-13 12:29:34.000,7,398
9711,2021-07-13 12:30:16.000,2021-07-13 12:30:16.000,2021-07-13 12:30:16.000,7,398
9685,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,399
9712,2021-07-13 12:34:02.000,2021-07-13 12:34:02.000,2021-07-13 12:34:02.000,7,399
9668,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,434
9713,2021-07-14 12:29:12.000,2021-07-14 12:29:12.000,2021-07-14 12:29:12.000,7,402
9609,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,402
9701,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,403
9670,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,405
9689,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,406
9702,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,407
9669,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,408
9678,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,438
9617,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,417
9667,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,471
9650,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,470
9605,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,401
9681,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,248
9682,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,251
9545,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,252
9664,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,254
9671,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,257
9703,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,259
9550,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,260
9672,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,262
9704,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,267
9705,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,268
9637,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,481
9686,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,486
9679,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,487
9695,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,488
9696,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,489
9634,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,490
9714,2021-07-15 15:56:45.000,2021-07-15 15:56:45.000,2021-07-15 15:56:45.000,7,463
9559,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,350
9674,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,468
9653,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,461
9688,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,356
9700,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,358
9715,2021-07-16 08:51:23.000,2021-07-16 08:51:23.000,2021-07-16 08:51:23.000,7,461
9602,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,454
9683,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,456
9684,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,466
9597,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,360
9697,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,650
9698,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,651
9699,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,652
9666,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,455
9612,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,412
9716,2021-07-17 09:20:12.000,2021-07-17 09:20:12.000,2021-07-17 09:20:12.000,7,412
9717,2021-07-17 09:21:12.000,2021-07-17 09:21:12.000,2021-07-17 09:21:12.000,7,412
9718,2021-07-17 09:25:13.000,2021-07-17 09:25:13.000,2021-07-17 09:25:13.000,7,411
9719,2021-07-17 09:26:21.000,2021-07-17 09:26:21.000,2021-07-17 09:26:21.000,7,411
9720,2021-07-17 09:27:14.000,2021-07-17 09:27:14.000,2021-07-17 09:27:14.000,7,411
9721,2021-07-17 09:28:57.000,2021-07-17 09:28:57.000,2021-07-17 09:28:57.000,7,414
9722,2021-07-17 09:29:53.000,2021-07-17 09:29:53.000,2021-07-17 09:29:53.000,7,414
9690,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,409
9691,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,299
9570,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,309
9708,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,303
9566,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,306
9588,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,333
9707,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,301
9692,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,316
9676,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,328
9706,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,320
9675,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,312
9709,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,324
9576,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,317
9569,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-18 00:00:00.000,6,298
9583,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,326
9731,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,,6,256
9744,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,,6,306
9754,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,,6,317
9763,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,,6,329
9804,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-19 00:00:00.000,6,431
9798,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,426
9797,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,410
9789,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,411
9791,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,413
9790,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,412
9796,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,418
9795,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,417
9793,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,415
9794,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,416
9806,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,423
9785,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,398
9782,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,400
9784,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-20 00:00:00.000,6,433
9801,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-19 00:00:00.000,6,429
9802,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-19 00:00:00.000,6,430
