gid,geometry,name,district,ms_id,monitoring_started,monitoring_ended
189,"""SRID=4326;POINT(11.8769396 44.5424655)""",RA06,RA,6,2020-04-19,2020-10-19
192,"""SRID=4326;POINT(11.8809145 44.4250424)""",RA09,RA,6,2020-04-19,2020-10-19
210,"""SRID=4326;POINT(11.9347162 44.3066041)""",RA27,RA,6,2020-04-19,2020-10-19
186,"""SRID=4326;POINT(11.954109 44.486476)""",RA03,RA,6,2020-04-19,2020-10-19
117,"""SRID=4326;POINT(12.0363302 44.4462601)""",FC14,RA,6,2020-04-19,2020-10-19
65,"""SRID=4326;POINT(11.7087481 44.7963039)""",FE02,FE,6,2020-04-19,2020-10-19
68,"""SRID=4326;POINT(11.6734147 44.910694)""",FE05,FE,6,2020-04-19,2020-10-19
66,"""SRID=4326;POINT(11.4915326 44.8799734)""",FE03,FE,6,2020-04-19,2020-10-19
67,"""SRID=4326;POINT(11.5270873 44.8804115)""",FE04,FE,6,2020-04-19,2020-10-19
84,"""SRID=4326;POINT(11.5412124 44.8539655)""",FE21,FE,6,2020-04-19,2020-10-19
64,"""SRID=4326;POINT(11.7591248 44.8808093)""",FE01,FE,6,2020-04-19,2020-10-19
78,"""SRID=4326;POINT(12.0028422 44.9689722)""",FE15,FE,6,2020-04-19,2020-10-19
79,"""SRID=4326;POINT(11.9341221 44.9637226)""",FE16,FE,6,2020-04-19,2020-10-19
73,"""SRID=4326;POINT(11.8474108 44.835164)""",FE10,FE,6,2020-04-19,2020-10-19
86,"""SRID=4326;POINT(11.827048 44.8323731)""",FE23,FE,6,2020-04-19,2020-10-19
69,"""SRID=4326;POINT(11.6546345 44.8588477)""",FE06,FE,6,2020-04-19,2020-10-19
170,"""SRID=4326;POINT(10.7911711 44.7802725)""",MO27,RE,6,2020-04-19,2020-10-19
83,"""SRID=4326;POINT(11.4247707 44.8039094)""",FE20,FE,6,2020-04-19,2020-10-19
70,"""SRID=4326;POINT(12.0064286 44.9033685)""",FE07,FE,6,2020-04-19,2020-10-19
77,"""SRID=4326;POINT(11.8698468 44.8095546)""",FE14,FE,6,2020-04-19,2020-10-19
71,"""SRID=4326;POINT(11.7580788 44.8300904)""",FE08,FE,6,2020-04-19,2020-10-19
152,"""SRID=4326;POINT(11.1095953 44.8719211)""",MO09,MO,6,2020-04-19,2020-10-19
82,"""SRID=4326;POINT(11.6731017 44.7323588)""",FE19,FE,6,2020-04-19,2020-10-19
112,"""SRID=4326;POINT(12.0242263 44.3544632)""",FC09,RA,6,2020-04-19,2020-10-19
111,"""SRID=4326;POINT(12.0431105 44.3932302)""",FC08,RA,6,2020-04-19,2020-10-19
148,"""SRID=4326;POINT(11.231995 44.8135614)""",MO05,MO,6,2020-04-19,2020-10-19
97,"""SRID=4326;POINT(11.6874526 44.7461447)""",FE34,FE,6,2020-04-19,2020-10-19
92,"""SRID=4326;POINT(11.8292023 44.84521)""",FE29,FE,6,2020-04-19,2020-10-19
88,"""SRID=4326;POINT(11.8167891 44.7996655)""",FE25,FE,6,2020-04-19,2020-10-19
87,"""SRID=4326;POINT(11.7898472 44.8232467)""",FE24,FE,6,2020-04-19,2020-10-19
91,"""SRID=4326;POINT(11.6286317 44.7301027)""",FE28,FE,6,2020-04-19,2020-10-19
104,"""SRID=4326;POINT(12.016743 44.251545)""",FC01,FC,6,2020-04-19,2020-10-19
106,"""SRID=4326;POINT(12.006047 44.247429)""",FC03,FC,6,2020-04-19,2020-10-19
116,"""SRID=4326;POINT(11.9973704 44.4746537)""",FC13,RA,6,2020-04-19,2020-10-19
95,"""SRID=4326;POINT(11.8882833 44.8326291)""",FE32,FE,6,2020-04-19,2020-10-19
154,"""SRID=4326;POINT(10.9973832 44.8694494)""",MO11,MO,6,2020-04-19,2020-10-19
94,"""SRID=4326;POINT(11.7148862 44.7209097)""",FE31,FE,6,2020-04-19,2020-10-19
90,"""SRID=4326;POINT(11.764934 44.7496433)""",FE27,FE,6,2020-04-19,2020-10-19
93,"""SRID=4326;POINT(11.7053542 44.7355318)""",FE30,FE,6,2020-04-19,2020-10-19
89,"""SRID=4326;POINT(11.649626 44.7844171)""",FE26,FE,6,2020-04-19,2020-10-19
105,"""SRID=4326;POINT(12.148 44.1649)""",FC02,FC,6,2020-04-19,2020-10-19
110,"""SRID=4326;POINT(12.3739173 44.158192)""",FC07,FC,6,2020-04-19,2020-10-19
108,"""SRID=4326;POINT(12.2950465 44.1152676)""",FC05,FC,6,2020-04-19,2020-10-19
107,"""SRID=4326;POINT(12.1232218 44.201005)""",FC04,FC,6,2020-04-19,2020-10-19
193,"""SRID=4326;POINT(11.876786 44.441738)""",RA10,RA,6,2020-04-19,2020-10-19
194,"""SRID=4326;POINT(11.929684 44.399823)""",RA11,RA,6,2020-04-19,2020-10-19
212,"""SRID=4326;POINT(12.1729675 44.3515763)""",RA29,RA,6,2020-04-19,2020-10-19
201,"""SRID=4326;POINT(12.0160675 44.3958368)""",RA18,RA,6,2020-04-19,2020-10-19
174,"""SRID=4326;POINT(10.7410331 44.7585437)""",MO31,RE,6,2020-04-19,2020-10-19
205,"""SRID=4326;POINT(11.8966467 44.3315316)""",RA22,RA,6,2020-04-19,2020-10-19
175,"""SRID=4326;POINT(10.7614516 44.7694733)""",MO32,RE,6,2020-04-19,2020-10-19
164,"""SRID=4326;POINT(11.0721866 44.6056604)""",MO21,MO,6,2020-04-19,2020-10-19
150,"""SRID=4326;POINT(10.9790928 44.5804986)""",MO07,MO,6,2020-04-19,2020-10-19
196,"""SRID=4326;POINT(11.7773964 44.5041177)""",RA13,BO,6,2020-04-19,2020-10-19
163,"""SRID=4326;POINT(11.0943362 44.5437561)""",MO20,MO,6,2020-04-19,2020-10-19
184,"""SRID=4326;POINT(11.9138245 44.4043957)""",RA01,RA,6,2020-04-19,2020-10-19
787,"""SRID=4326;POINT(11.765036 44.387736)""",BO19,BO,12,2022-03-21,2022-10-24
451,"""SRID=4326;POINT(11.8823501874614 44.4883006080824)""",RA04,RA,9,2021-02-22,2021-10-25
253,"""SRID=4326;POINT(11.62741 44.6355722)""",BO06,BO,9,2021-02-22,2021-10-25
250,"""SRID=4326;POINT(11.4220107 44.7258452)""",BO03,BO,9,2021-02-22,2021-10-25
249,"""SRID=4326;POINT(11.440961 44.752219)""",BO02,BO,9,2021-02-22,2021-10-25
485,"""SRID=4326;POINT(11.9894679 44.3801097)""",RA38,RA,9,2021-02-22,2021-10-25
200,"""SRID=4326;POINT(11.985468 44.3755617)""",RA17,RA,6,2020-04-19,2020-10-19
178,"""SRID=4326;POINT(10.8707873 44.8826064)""",MO35,RE,6,2020-04-19,2020-10-19
209,"""SRID=4326;POINT(11.8439968 44.3403604)""",RA26,RA,6,2020-04-19,2020-10-19
161,"""SRID=4326;POINT(10.8973211 44.5769359)""",MO18,MO,6,2020-04-19,2020-10-19
173,"""SRID=4326;POINT(10.713018 44.6253754)""",MO30,RE,6,2020-04-19,2020-10-19
171,"""SRID=4326;POINT(10.8138395 44.7152998)""",MO28,RE,6,2020-04-19,2020-10-19
160,"""SRID=4326;POINT(10.8597191 44.6773164)""",MO17,MO,6,2020-04-19,2020-10-19
188,"""SRID=4326;POINT(11.955069 44.565121)""",RA05,RA,6,2020-04-19,2020-10-19
159,"""SRID=4326;POINT(11.0233567 44.7052368)""",MO16,MO,6,2020-04-19,2020-10-19
158,"""SRID=4326;POINT(10.9636712 44.682249)""",MO15,MO,6,2020-04-19,2020-10-19
157,"""SRID=4326;POINT(10.9566924 44.720497)""",MO14,MO,6,2020-04-19,2020-10-19
156,"""SRID=4326;POINT(10.96102 44.8364453)""",MO13,MO,6,2020-04-19,2020-10-19
155,"""SRID=4326;POINT(10.9923746 44.7887749)""",MO12,MO,6,2020-04-19,2020-10-19
213,"""SRID=4326;POINT(11.8072148 44.3380346)""",RA30,RA,6,2020-04-19,2020-10-19
211,"""SRID=4326;POINT(11.9508926 44.3183829)""",RA28,RA,6,2020-04-19,2020-10-19
127,"""SRID=4326;POINT(12.2697797 44.1658763)""",FC24,FC,6,2020-04-19,2020-10-19
128,"""SRID=4326;POINT(12.0315603 44.2682599)""",FC25,FC,6,2020-04-19,2020-10-19
122,"""SRID=4326;POINT(12.1405078 44.2121403)""",FC19,FC,6,2020-04-19,2020-10-19
126,"""SRID=4326;POINT(12.023979 44.2522656)""",FC23,FC,6,2020-04-19,2020-10-19
